Título,Preço,Ano,Quilometragem,Combustível,Caixa,Segmento,Cilindrada,Potência,URL
BMW 760 M760 Li xDrive,74900 EUR,2019,93544 km,Gasolina,Automática,Sedan,6 592 cm3,610 cv,https://www.standvirtual.com/carros/anuncio/bmw-760-ver-m760-li-xdrive-ID8PRlD5.html
BMW 745 e iPerformance Pack M Auto,56580 EUR,2020,65700 km,Híbrido Plug-In,Automática,Sedan,2 998 cm3,394 cv,https://www.standvirtual.com/carros/anuncio/bmw-745-ver-e-iperformance-pack-m-auto-ID8PRI17.html
BMW 740 e iPerformance,49900 EUR,2019,81679 km,Híbrido Plug-In,Automática,Sedan,1 998 cm3,326 cv,https://www.standvirtual.com/carros/anuncio/bmw-740-ver-e-iperformance-ID8PPP49.html
BMW 730 d Auto,55900 EUR,2019,67000 km,Gasóleo,Automática,Sedan,2 993 cm3,265 cv,https://www.standvirtual.com/carros/anuncio/bmw-730-ver-d-auto-ID8PO16J.html
BMW 760 i Pack M,59990 EUR,2012,71531 km,Gasolina,Automática,Sedan,5 972 cm3,544 cv,https://www.standvirtual.com/carros/anuncio/bmw-760-ver-i-pack-m-ID8PKC0s.html
BMW 730,57500 EUR,2020,98000 km,Gasóleo,Automática,Sedan,2 993 cm3,286 cv,https://www.standvirtual.com/carros/anuncio/bmw-730-ID8PL3jZ.html
BMW 745 e iPerformance Pack M Auto,62000 EUR,2020,41000 km,Híbrido Plug-In,Automática,Sedan,2 998 cm3,394 cv,https://www.standvirtual.com/carros/anuncio/bmw-745-ver-e-iperformance-pack-m-auto-ID8PRO7Q.html
BMW 725 Ld Pack M,40000 EUR,2018,82000 km,Gasóleo,Automática,Sedan,1 995 cm3,231 cv,https://www.standvirtual.com/carros/anuncio/bmw-725-ver-ld-pack-m-ID8PRm7P.html
BMW 750 d xDrive Pack M Auto,72800 EUR,2020,38000 km,Gasóleo,Automática,Sedan,2 993 cm3,400 cv,https://www.standvirtual.com/carros/anuncio/bmw-750-ver-d-xdrive-pack-m-auto-ID8PNFI3.html
BMW 750 Li xDrive,29999 EUR,2010,70000 km,Gasolina,Automática,Sedan,4 395 cm3,407 cv,https://www.standvirtual.com/carros/anuncio/bmw-750-ver-li-xdrive-ID8PQCKR.html
