Título,Preço,Ano,Quilometragem,Combustível,URL
BMW 520 d,68500 EUR,2024,5000 km,Gasóleo,https://www.standvirtual.com/carros/anuncio/bmw-520-ver-d-pack-desportivo-m-ID8PPaT0.html
BMW 520 d Pack Desportivo M,58946 EUR,2024,29000 km,Gasóleo,https://www.standvirtual.com/carros/anuncio/bmw-520-ver-d-ID8PN3WG.html
BMW 520 d Pack Desportivo M,58400 EUR,2024,11000 km,Gasóleo,https://www.standvirtual.com/carros/anuncio/bmw-520-ver-d-pack-desportivo-m-ID8PRIU3.html
BMW 520 d xDrive Pack M,68999 EUR,2024,12000 km,Gasóleo,https://www.standvirtual.com/carros/anuncio/bmw-520-ver-d-xdrive-pack-m-ID8PLXHr.html
BMW 530 e Pack Desportivo M Pro,69900 EUR,2024,17000 km,Híbrido Plug-In,https://www.standvirtual.com/carros/anuncio/bmw-530-ver-e-pack-desportivo-m-pro-ID8PQYnS.html
BMW 520 d Pack Desportivo M Auto,50900 EUR,2024,27200 km,Gasóleo,https://www.standvirtual.com/carros/anuncio/bmw-520-ver-d-pack-desportivo-m-auto-ID8PS6RT.html
BMW 530 e Pack Desportivo M,65946 EUR,2024,24000 km,Híbrido Plug-In,https://www.standvirtual.com/carros/anuncio/bmw-530-ver-e-pack-desportivo-m-ID8PSiqD.html
BMW 520 d xDrive Pack Desportivo M,60980 EUR,2024,21592 km,Gasóleo,https://www.standvirtual.com/carros/anuncio/bmw-520-ver-d-xdrive-pack-desportivo-m-ID8PNCHb.html
BMW 520 i,57900 EUR,2024,14623 km,Gasolina,https://www.standvirtual.com/carros/anuncio/bmw-520-ver-i-ID8PRL6V.html
BMW M5 Standard,144990 EUR,2024,4878 km,Híbrido Plug-In,https://www.standvirtual.com/carros/anuncio/bmw-m5-ver-standard-ID8PQ0fw.html
BMW 530 e Pack Desportivo M Pro,73900 EUR,2024,21135 km,Híbrido Plug-In,https://www.standvirtual.com/carros/anuncio/bmw-530-ver-e-pack-desportivo-m-pro-ID8PRDcR.html
BMW 530 e Pack Desportivo M Pro,77950 EUR,2024,5431 km,Híbrido Plug-In,https://www.standvirtual.com/carros/anuncio/bmw-530-ver-e-pack-desportivo-m-pro-ID8PSblq.html
BMW 530 e Pack Desportivo M,48000 EUR,2024,15956 km,Híbrido Plug-In,https://www.standvirtual.com/carros/anuncio/bmw-530-ver-e-pack-desportivo-m-ID8PQXbq.html
BMW 520 d Pack Desportivo M Pro,62900 EUR,2024,24000 km,Gasóleo,https://www.standvirtual.com/carros/anuncio/bmw-520-ver-d-pack-desportivo-m-pro-ID8PSi3S.html
BMW 520 d,59900 EUR,2024,28300 km,Gasóleo,https://www.standvirtual.com/carros/anuncio/bmw-520-ver-d-ID8PRVWv.html
BMW 520 d Pack Desportivo M Pro,72900 EUR,2024,11000 km,Gasóleo,https://www.standvirtual.com/carros/anuncio/bmw-520-ver-d-pack-desportivo-m-pro-ID8PQxck.html
BMW 530 e,69900 EUR,2024,11 km,Híbrido Plug-In,https://www.standvirtual.com/carros/anuncio/bmw-530-ver-e-ID8PRpkJ.html
BMW 520 d Pack Desportivo M,59900 EUR,2024,24004 km,Gasóleo,https://www.standvirtual.com/carros/anuncio/bmw-520-ver-d-pack-desportivo-m-ID8PP3Lo.html
BMW 520 d Pack Desportivo M Auto,52900 EUR,2024,20500 km,Gasóleo,https://www.standvirtual.com/carros/anuncio/bmw-520-ver-d-pack-desportivo-m-auto-ID8PSc9U.html
BMW 520 d Pack Desportivo M Auto,51900 EUR,2024,22000 km,Gasóleo,https://www.standvirtual.com/carros/anuncio/bmw-520-ver-d-pack-desportivo-m-auto-ID8PSc9W.html
BMW 520 d Pack Desportivo M Auto,56900 EUR,2024,32000 km,Gasóleo,https://www.standvirtual.com/carros/anuncio/bmw-520-ver-d-pack-desportivo-m-auto-ID8PMhnH.html
BMW 530 e,54900 EUR,2024,22700 km,Híbrido Plug-In,https://www.standvirtual.com/carros/anuncio/bmw-530-ver-e-ID8PMhnX.html
